stateabb,ccode,statenme,state_dept_name,styear,stmonth,stday,endyear,endmonth,endday,version
AUL,900,Australia,Australia,1920,1,10,2016,12,31,2016
PNG,910,Papua New Guinea,Papua New Guinea,1975,9,16,2016,12,31,2016
NEW,920,New Zealand,New Zealand,1920,1,10,2016,12,31,2016
VAN,935,Vanuatu,Vanuatu,1981,9,15,2016,12,31,2016
SOL,940,Solomon Islands,"Solomon Islands, The",1978,7,7,2016,12,31,2016
KIR,946,Kiribati,Kiribati,1999,9,14,2016,12,31,2016
TUV,947,Tuvalu,Tuvalu,2000,9,5,2016,12,31,2016
FIJ,950,Fiji,Fiji,1970,10,10,2016,12,31,2016
TON,955,Tonga,Tonga,1999,9,14,2016,12,31,2016
NAU,970,Nauru,Nauru,1999,9,14,2016,12,31,2016
MSI,983,Marshall Islands,Marshall Islands,1991,9,17,2016,12,31,2016
PAL,986,Palau,Palau,1994,12,15,2016,12,31,2016
FSM,987,Federated States of Micronesia,Micronesia,1991,9,17,2016,12,31,2016
WSM,990,Samoa,Samoa,1976,12,15,2016,12,31,2016
