country_abbrev_cow,country_code_cow,country_name_cow,country_name_usdos,date_start,date_end,us_mission_status
KYR,703,Kyrgyzstan,Kyrgyzstan,1992-02-01,2024-12-31,Embassy
KZK,705,Kazakhstan,Kazakhstan,1991-12-26,1992-02-02,None
KZK,705,Kazakhstan,Kazakhstan,1992-02-03,2024-12-31,Embassy
LAO,812,Laos,Laos,1953-10-23,1955-08-09,Legation
LAO,812,Laos,Laos,1955-08-10,1975-11-30,Embassy
LAO,812,Laos,Laos,1975-12-01,1992-08-05,Liaison
LAO,812,Laos,Laos,1992-08-06,2024-12-31,Embassy
LAT,367,Latvia,Latvia,1918-11-18,1922-07-27,None
LAT,367,Latvia,Latvia,1922-07-28,1922-11-12,Envoy Nonresident
LAT,367,Latvia,Latvia,1922-11-13,1940-06-16,Legation
LAT,367,Latvia,Latvia,1991-09-06,1991-10-01,None
LAT,367,Latvia,Latvia,1991-10-02,2024-12-31,Embassy
LBR,450,Liberia,Liberia,1920-06-30,1949-05-05,Legation
LBR,450,Liberia,Liberia,1949-05-06,2024-12-31,Embassy
LEB,660,Lebanon,Lebanon,1946-03-10,1952-10-02,Legation
LEB,660,Lebanon,Lebanon,1952-10-03,1989-09-05,Embassy
LEB,660,Lebanon,Lebanon,1989-09-06,1990-11-28,None
LEB,660,Lebanon,Lebanon,1990-11-29,2024-12-31,Embassy
LES,570,Lesotho,Lesotho,1966-10-04,2024-12-31,Embassy
LIB,620,Libya,Libya,1951-12-24,1954-09-24,Legation
LIB,620,Libya,Libya,1954-09-25,1980-05-01,Embassy
LIB,620,Libya,Libya,1980-05-02,2004-02-07,None
LIB,620,Libya,Libya,2004-02-08,2004-06-27,Interests
LIB,620,Libya,Libya,2004-06-28,2006-05-30,Liaison
LIB,620,Libya,Libya,2006-05-31,2011-02-24,Embassy
LIB,620,Libya,Libya,2011-02-25,2011-09-21,None
LIB,620,Libya,Libya,2011-09-22,2014-07-25,Embassy
LIB,620,Libya,Libya,2014-07-26,2024-12-31,Ambassador Nonresident
LIE,223,Liechtenstein,Liechtenstein,1990-09-18,1997-02-09,None
LIE,223,Liechtenstein,Liechtenstein,1997-02-10,2024-12-31,Ambassador Nonresident
LIT,368,Lithuania,Lithuania,1918-02-16,1922-07-27,None
LIT,368,Lithuania,Lithuania,1922-07-28,1930-05-30,Envoy Nonresident
LIT,368,Lithuania,Lithuania,1930-05-31,1940-06-15,Legation
LIT,368,Lithuania,Lithuania,1991-09-06,1991-10-01,None
LIT,368,Lithuania,Lithuania,1991-10-02,2024-12-31,Embassy
LUX,212,Luxembourg,Luxembourg,1920-11-15,1931-10-07,Envoy Nonresident
LUX,212,Luxembourg,Luxembourg,1931-10-08,1940-05-10,Legation
LUX,212,Luxembourg,Luxembourg,1944-09-10,1956-09-20,Legation
LUX,212,Luxembourg,Luxembourg,1956-09-21,2024-12-31,Embassy
MAA,435,Mauritania,Mauritania,1960-11-28,1962-07-13,Ambassador Nonresident
MAA,435,Mauritania,Mauritania,1962-07-14,1967-06-06,Embassy
MAA,435,Mauritania,Mauritania,1967-06-07,1970-03-03,None
MAA,435,Mauritania,Mauritania,1970-03-04,2024-12-31,Embassy
MAC,343,Macedonia,North Macedonia,1993-04-08,1993-12-02,None
MAC,343,Macedonia,North Macedonia,1993-12-03,1996-07-28,Liaison
MAC,343,Macedonia,North Macedonia,1996-07-29,2024-12-31,Embassy
MAD,781,Maldives,Maldives,1965-07-26,1966-04-08,None
MAD,781,Maldives,Maldives,1966-04-09,2024-12-31,Ambassador Nonresident
MAG,580,Madagascar,Madagascar,1960-06-26,2024-12-31,Embassy
MAL,820,Malaysia,Malaysia,1957-08-31,2024-12-31,Embassy
MAS,590,Mauritius,Mauritius,1968-03-12,2024-12-31,Embassy
MAW,553,Malawi,Malawi,1964-07-06,2024-12-31,Embassy
MEC,280,Mecklenburg Schwerin,Mecklenburg-Schwerin,1843-01-01,1867-04-17,Consulate
MEX,70,Mexico,Mexico,1831-01-01,1845-03-27,Legation
MEX,70,Mexico,Mexico,1845-03-28,1848-10-01,None
MEX,70,Mexico,Mexico,1848-10-02,1858-06-20,Legation
MEX,70,Mexico,Mexico,1858-06-21,1859-04-05,None
MEX,70,Mexico,Mexico,1859-04-06,1899-01-02,Legation
MEX,70,Mexico,Mexico,1899-01-03,1914-04-21,Embassy
MEX,70,Mexico,Mexico,1914-04-22,1917-03-02,None
